,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
0,CA02,140105686,SYSC llc,26-04-2020,2020,2960623488,30-03-2020,10-04-2020,31-03-2020,CA10,2309.79,16-30
1,U001,200744019,TARG us,08-04-2020,2020,1930659387,19-03-2020,03-04-2020,19-03-2020,NAA8,11173.02,0-15
2,U001,200418007,AM ,23-03-2020,2020,1930610806,11-03-2020,26-03-2020,11-03-2020,NAA8,3525.59,
3,U001,200739534,OK systems,05-05-2020,2020,1930788296,15-04-2020,30-04-2020,15-04-2020,NAA8,121105.65,0-15
4,U001,200353024,DECA corporation,22-04-2020,2020,1930817482,23-04-2020,26-04-2020,16-04-2020,NAM2,3726.06,
5,U001,200744019,TARG associates,10-04-2020,2020,1930676042,21-03-2020,05-04-2020,21-03-2020,NAA8,5893.01,0-15
6,CA02,140106408,WAL-M corp,11-04-2020,2020,2960618790,06-03-2020,16-03-2020,06-03-2020,CA10,64982.589,16-30
7,U001,200337148,COAS llc,18-03-2020,2020,1930592246,02-03-2020,17-03-2020,02-03-2020,NAA8,11380.83,0-15
8,U001,200794332,COST associates,22-04-2020,2020,1930731070,07-04-2020,22-04-2020,07-04-2020,NAAX,3863.93,0-15
9,U001,200794332,COST llc,07-05-2020,2020,1930803605,23-04-2020,08-05-2020,23-04-2020,NAAX,74453.01,
10,U001,200803720,DEC corp,09-04-2020,2020,1930698352,25-03-2020,08-04-2020,16-03-2020,NAM4,138.6,0-15
11,U001,200794332,COST co,28-03-2020,2020,1930647189,13-03-2020,28-03-2020,13-03-2020,NAAX,32715.47,0-15
12,U001,200020431,DEC us,25-05-2020,2020,1930861637,06-05-2020,24-05-2020,01-05-2020,NAM4,174.72,0-15
13,U001,200769623,WAL-MAR associates,11-04-2020,2020,1930635649,12-03-2020,27-03-2020,12-03-2020,NAH4,767.78,16-30
14,CA02,140105785,SHOPPE foundation,08-05-2020,2020,2960624627,27-03-2020,10-04-2020,31-03-2020,CA10,1980.72,16-30
15,U001,200769623,WAL-MAR ,29-03-2020,2020,1930577078,28-02-2020,14-03-2020,28-02-2020,NAH4,14514.68,16-30
16,U001,200769623,WAL-MAR foundation,10-05-2020,2020,1930774741,10-04-2020,25-04-2020,10-04-2020,NAH4,55400.31,16-30
17,U001,200772670,ASSOCIAT corporation,25-04-2020,2020,1930765053,09-04-2020,24-04-2020,09-04-2020,NAU5,174766.36,0-15
18,U001,200900909,SYSCO systems,19-04-2020,2020,1930645969,13-03-2020,14-04-2020,13-03-2020,NA32,31512.75,0-15
19,U001,200769623,WAL-MAR systems,29-04-2020,2020,1930718081,30-03-2020,14-04-2020,30-03-2020,NAH4,19701.55,16-30
20,U001,200726979,BJ'S  trust,06-05-2020,2020,1930788667,16-04-2020,01-05-2020,16-04-2020,NAA8,132.72,0-15
21,U001,200769623,WAL-MAR llc,30-04-2020,2020,1930709919,29-03-2020,13-04-2020,29-03-2020,NAH4,1121.15,16-30
22,U001,200769623,WAL-MAR llc,06-05-2020,2020,1930752568,06-04-2020,21-04-2020,06-04-2020,NAH4,11394.84,16-30
23,CA02,140105847,GORDON F co,03-05-2020,2020,2960627274,08-04-2020,18-04-2020,08-04-2020,CA10,2579.64,16-30
24,U001,200744019,TARG foundation,05-04-2020,2020,1930648342,15-03-2020,30-03-2020,15-03-2020,NAA8,52123.3,0-15
25,U001,200769623,WAL-MAR systems,09-04-2020,2020,1930632791,10-03-2020,25-03-2020,10-03-2020,NAH4,14994.01,16-30
26,U001,200769623,WAL-MAR llc,10-04-2020,2020,1930617194,06-03-2020,21-03-2020,06-03-2020,NAH4,36.06,16-30
27,U001,200418007,AM in,18-04-2020,2020,1930752243,06-04-2020,21-04-2020,06-04-2020,NAA8,25836.19,
28,U001,200739006,AL foundation,01-05-2020,2020,1930768064,15-04-2020,30-04-2020,15-04-2020,NAA8,4309.05,0-15
29,U001,100031704,DELHAIZE associates,02-05-2020,2020,1930789873,15-04-2020,30-04-2020,15-04-2020,NAA8,70181.07,0-15
30,U001,200769623,WAL-MAR trust,27-04-2020,2020,1930705172,28-03-2020,12-04-2020,28-03-2020,NAH4,3403.8,16-30
31,U001,200744019,TARG systems,19-05-2020,2020,1930620634,10-03-2020,14-05-2020,10-03-2020,NAGD,10665.53,0-15
32,U001,200769623,WAL-MAR ,20-04-2020,2020,1930676002,21-03-2020,05-04-2020,21-03-2020,NAH4,7280.51,16-30
33,U001,200726979,BJ'S  corporation,18-03-2020,2020,1930585378,02-03-2020,17-03-2020,02-03-2020,NAA8,13681.7,0-15
34,U001,200706844,WINC associates,10-05-2020,2020,1930773419,07-04-2020,22-04-2020,07-04-2020,NAA8,33947.85,16-30
35,U001,200793830,M llc,26-04-2020,2020,1930767747,08-04-2020,23-04-2020,08-04-2020,NAA8,4537.14,0-15
36,U001,200769623,WAL-MAR foundation,06-05-2020,2020,1930750455,06-04-2020,21-04-2020,06-04-2020,NAH4,14355.96,16-30
37,U001,200769623,WAL-MAR systems,05-05-2020,2020,1930738904,03-04-2020,18-04-2020,03-04-2020,NAH4,367.71,16-30
38,U001,200769623,WAL-MAR trust,05-06-2020,2020,1930862467,06-05-2020,21-05-2020,06-05-2020,NAH4,56284.77,16-30
39,U001,200769623,WAL-MAR systems,30-03-2020,2020,1930582162,29-02-2020,15-03-2020,29-02-2020,NAH4,50493.86,16-30
40,U001,200769623,WAL-MAR llc,21-05-2020,2020,1930802490,21-04-2020,06-05-2020,21-04-2020,NAH4,15489.43,16-30
41,CA02,140104423,METRO  llc,19-03-2020,2020,2960617050,27-02-2020,11-03-2020,01-03-2020,CA10,93179.352,0-15
42,U001,200726979,BJ'S  systems,12-05-2020,2020,1930801417,19-04-2020,04-05-2020,19-04-2020,NAA8,360.33,0-15
43,U001,200743996,STATER  llc,12-05-2020,2020,1930660304,16-03-2020,20-05-2020,16-03-2020,NAGD,3826.03,
44,U001,200752302,KROGER trust,19-04-2020,2020,1930733767,02-04-2020,17-04-2020,02-04-2020,NAA8,96674.05,0-15
45,CA02,140105686,SYSC llc,01-06-2020,2020,2960633120,06-05-2020,18-05-2020,08-05-2020,CA10,43230.299,0-15
46,U001,200711029,WEGMAN corp,04-05-2020,2020,1930742932,03-04-2020,18-04-2020,03-04-2020,NAA8,14382.22,16-30
47,CA02,CCU001,KRAFT  corporation,09-05-2020,2020,2960622220,20-03-2020,27-04-2020,23-03-2020,NAG2,17828.069,0-15
48,U001,200769623,WAL-MAR llc,21-05-2020,2020,1930804924,21-04-2020,06-05-2020,21-04-2020,NAH4,35509.95,16-30
49,U001,200769623,WAL-MAR associates,05-05-2020,2020,1930746955,05-04-2020,20-04-2020,05-04-2020,NAH4,13512.61,16-30
50,U001,200772670,ASSOCIAT corp,08-04-2020,2020,1930698156,24-03-2020,08-04-2020,24-03-2020,NAU5,24421.33,0-15
51,U001,200769623,WAL-MAR co,19-05-2020,2020,1930801200,19-04-2020,04-05-2020,19-04-2020,NAH4,11217.33,16-30
52,U001,200769623,WAL-MAR systems,13-05-2020,2020,1930776682,13-04-2020,28-04-2020,13-04-2020,NAH4,12554.13,16-30
53,U001,200720238,WOODM co,09-06-2020,2020,1930858727,06-05-2020,21-05-2020,06-05-2020,NAA8,126919.03,16-30
54,CA02,140106408,WAL-M in,31-05-2020,2020,2960631200,25-04-2020,05-05-2020,25-04-2020,CA10,28537.684,16-30
55,U001,200769623,WAL-MAR co,28-04-2020,2020,1930729999,01-04-2020,16-04-2020,01-04-2020,NAH4,24834.9,0-15
